seqId;HDM_seqId
3156;bd_01-01_01
3172;bd_01-01_02
3142;bd_01-01_03
3177;bd_01-02_01
3201;bd_01-02_02
3145;bd_01-02_03
3174;bd_01-03_01
3151;bd_01-03_02
3158;bd_01-03_03
3153;bd_01-03_04
3429;bd_01-05_01
3432;bd_01-05_02
3430;bd_01-05_03
3436;bd_01-05_04
3434;bd_01-05_05
3431;bd_01-06_01
3433;bd_01-06_02
3435;bd_01-06_03
3182;bd_02-01_01
3166;bd_02-01_02
3161;bd_02-01_03
3185;bd_02-02_01
3162;bd_02-02_02
3175;bd_02-03_01
3148;bd_02-03_02
3146;bd_03-02_01
3205;bd_03-02_02
3183;bd_03-02_03
3138;bd_03-03_01
3143;bd_03-03_02
3181;bd_03-03_03
3168;bd_03-04_01
3171;bd_03-04_02
3136;bd_03-04_03
3150;bd_03-04_04
3169;bd_03-05_01
3147;bd_03-05_02
3141;bd_03-05_03
3167;bd_04-01_01
3152;bd_04-01_02
3144;bd_05-01_01
3173;bd_05-01_02
3180;bd_05-01_03
3176;bd_05-02_01
3160;bd_05-02_02
3170;bd_05-02_03
3164;bd_05-03_01
3154;bd_05-03_02
3179;bd_05-03_03
3289;bk_01-01_01
3274;bk_01-01_02
3300;bk_01-01_03
3224;bk_01-02_01
3198;bk_01-02_02
3254;bk_01-02_03
3318;bk_01-03_01
3424;bk_01-03_02
3220;bk_01-03_03
3425;bk_01-03_04
3427;bk_01-03_05
3440;bk_01-05_01
3437;bk_01-05_02
3442;bk_01-05_03
3447;bk_01-06_01
3439;bk_01-06_02
3441;bk_01-06_03
3438;bk_01-06_04
3388;bk_02-01_01
3315;bk_02-01_02
3227;bk_02-01_03
3378;bk_02-02_01
3364;bk_02-02_02
3391;bk_02-02_03
3239;bk_02-03_01
3268;bk_02-03_02
3230;bk_02-03_03
3232;bk_02-03_04
3257;bk_03-02_01
3369;bk_03-02_02
3384;bk_03-02_03
3355;bk_03-03_01
3407;bk_03-03_02
3373;bk_03-03_03
3241;bk_03-04_01
3418;bk_03-04_02
3428;bk_03-04_03
3202;bk_03-04_04
3311;bk_03-05_01
3352;bk_03-05_02
3280;bk_03-05_03
3399;bk_04-01_01
3211;bk_04-01_02
3261;bk_04-01_03
3348;bk_05-01_01
3396;bk_05-01_02
3412;bk_05-01_03
3423;bk_05-02_01
3421;bk_05-02_02
3295;bk_05-02_03
3344;bk_05-03_01
3284;bk_05-03_02
3337;bk_05-03_03
3242;dg_01-01_01
3417;dg_01-01_02
3282;dg_01-01_03
3291;dg_01-01_04
3331;dg_01-02_01
3321;dg_01-02_02
3279;dg_01-02_03
3213;dg_01-03_01
3353;dg_01-03_02
3328;dg_01-03_03
3264;dg_01-04_01
3446;dg_01-05_01
3453;dg_01-05_02
3456;dg_01-05_03
3458;dg_01-06_01
3450;dg_01-06_02
3443;dg_01-06_03
3368;dg_02-01_01
3335;dg_02-01_02
3307;dg_02-01_03
3404;dg_02-02_01
3288;dg_02-02_02
3360;dg_02-02_03
3316;dg_02-02_04
3192;dg_02-03_01
3263;dg_02-03_02
3334;dg_02-03_03
3208;dg_03-02_01
3256;dg_03-02_02
3422;dg_03-02_03
3225;dg_03-03_01
3409;dg_03-03_02
3339;dg_03-03_03
3273;dg_03-04_01
3401;dg_03-04_02
3215;dg_03-05_01
3276;dg_03-05_02
3251;dg_03-05_03
3371;dg_04-01_01
3385;dg_04-01_02
3358;dg_05-01_01
3341;dg_05-01_02
3221;dg_05-01_03
3380;dg_05-02_01
3190;dg_05-02_02
3413;dg_05-02_03
3248;dg_05-03_01
3204;dg_05-03_02
3346;mm_01-01_01
3286;mm_01-01_02
3217;mm_01-01_03
3214;mm_01-02_01
3238;mm_01-02_02
3393;mm_01-02_03
3386;mm_01-03_01
3302;mm_01-03_02
3299;mm_01-03_03
3448;mm_01-05_01
3452;mm_01-06_01
3444;mm_01-06_02
3454;mm_01-06_03
3249;mm_02-01_01
3240;mm_02-01_02
3330;mm_02-01_03
3372;mm_02-01_04
3200;mm_02-02_01
3379;mm_02-02_02
3283;mm_02-02_03
3332;mm_02-03_01
3206;mm_02-03_02
3223;mm_02-03_03
3414;mm_03-02_01
3309;mm_03-02_02
3405;mm_03-02_03
3419;mm_03-03_01
3234;mm_03-03_02
3271;mm_03-04_01
3342;mm_03-04_02
3253;mm_03-04_03
3243;mm_03-05_02
3262;mm_04-01_01
3209;mm_04-01_02
3226;mm_05-01_01
3357;mm_05-01_02
3259;mm_05-01_03
3395;mm_05-02_01
3374;mm_05-02_02
3389;mm_05-03_01
3305;mm_05-03_02
3193;mm_05-03_03
3361;tr_01-01_01
3322;tr_01-01_02
3236;tr_01-01_03
3375;tr_01-02_01
3293;tr_01-02_02
3301;tr_01-02_03
3216;tr_01-03_01
3269;tr_01-03_02
3387;tr_01-03_03
3370;tr_01-03_04
3455;tr_01-05_01
3445;tr_01-05_02
3451;tr_01-05_03
3459;tr_01-06_01
3449;tr_01-06_02
3457;tr_01-06_03
3381;tr_02-01_01
3383;tr_02-01_02
3377;tr_02-01_03
3194;tr_02-02_01
3349;tr_02-02_02
3247;tr_02-02_03
3244;tr_02-02_04
3298;tr_02-03_01
3285;tr_02-03_02
3310;tr_02-03_03
3333;tr_03-02_01
3252;tr_03-02_02
3365;tr_03-02_03
3278;tr_03-02_04
3189;tr_03-03_01
3203;tr_03-03_02
3229;tr_03-03_03
3186;tr_03-04_01
3272;tr_03-04_02
3304;tr_03-04_03
3312;tr_03-05_01
3287;tr_03-05_02
3184;tr_03-05_03
3394;tr_04-01_01
3356;tr_05-01_01
3281;tr_05-01_02
3354;tr_05-02_01
3207;tr_05-02_02
3314;tr_05-02_03
3265;tr_05-03_01
3390;tr_05-03_02
3290;tr_05-03_03
3212;tr_05-03_04
